authorizer|enterer|modifier|reference_no|taxon_no|taxon_name|common_name|taxon_rank|invalid_reason|original_taxon_no|original_taxon_name|original_taxon_rank|author1init|author1last|author2init|author2last|otherauthors|pubyr|pages|figures|parent_name|extant|preservation|type_taxon|type_specimen|type_body_part|part_details|comments|created|modified
"M. Carrano"|"M. Carrano"|"M. Carrano"|10350|67649|"Albertosaurus megagracilis"||species|"subjective synonym of Tyrannosaurus rex"|67649|"Albertosaurus megagracilis"|species|"G. S."|Paul||||1988|333-334||"Tyrannosaurus rex"|no|||"LACM 28345"||||"2005-09-09 18:02:17"|"2005-09-22 23:35:31"
"M. Carrano"|"M. Carrano"|"M. Carrano"|10350|57107|"Aublysodon molnaris"||species|"subjective synonym of Tyrannosaurus rex"|57107|"Aublysodon molnaris"|species|"G. S."|Paul||||1988|324||"Tyrannosaurus rex"|no|||"LACM 28471"||||"2004-04-23 14:05:50"|"2005-09-22 23:25:49"
"M. Carrano"|"M. Carrano"|"M. Carrano"|14429|67645|Dinotyrannus||genus|"subjective synonym of Tyrannosaurus"|67645|Dinotyrannus|genus|G.|Olshevsky||||1995|||Tyrannosaurus|no||"Albertosaurus megagracilis"|||||"2005-09-09 17:59:21"|"2007-01-20 08:49:16"
"M. Carrano"|"M. Carrano"|"M. Carrano"|9259|56317|Dynamosaurus||genus|"subjective synonym of Tyrannosaurus"|56317|Dynamosaurus|genus|"H. F."|Osborn||||1905|"259, 263-4"|2|Tyrannosaurus||||||||"2004-01-05 13:19:22"|"2011-07-30 01:43:04"
"M. Carrano"|"M. Carrano"|"M. Carrano"|9259|56318|"Dynamosaurus imperiosus"||species|"subjective synonym of Tyrannosaurus rex"|56318|"Dynamosaurus imperiosus"|species|"H. F."|Osborn||||1905|263-4|2|"Tyrannosaurus rex"|no|||"AMNH 5866"||||"2004-01-05 13:19:22"|"2005-06-15 11:00:57"
"M. Carrano"|"M. Carrano"|"M. Carrano"|15684|63934|Manospondylus||genus|"subjective synonym of Tyrannosaurus"|63934|Manospondylus|genus|"E. D."|Cope||||1892|757||Tyrannosaurus|no|||||||"2005-01-03 14:06:00"|"2011-07-30 01:42:51"
"M. Carrano"|"M. Carrano"|"M. Carrano"|15684|63935|"Manospondylus gigas"||species|"subjective synonym of Tyrannosaurus rex"|63935|"Manospondylus gigas"|species|"E. D."|Cope||||1892|757||"Tyrannosaurus rex"|no|||"AMNH 3982"||||"2005-01-03 14:06:32"|"2006-01-24 03:20:48"
"M. Carrano"|"M. Carrano"|"M. Carrano"|14429|67646|Stygivenator||genus|"subjective synonym of Tyrannosaurus"|67646|Stygivenator|genus|G.|Olshevsky||||1995|||Tyrannosaurus|no||"Aublysodon molnaris"|||||"2005-09-09 17:59:37"|"2005-09-10 11:04:04"
"M. Carrano"|"M. Carrano"||14908|68293|Tyrannosauripus||genus|"nomen nudum belonging to Tyrannosaurus"|68293|Tyrannosauripus|genus|J.|Lessertisseur||||1955|||Tyrannosaurus|no|trace||||||"2005-10-28 07:24:38"|"2005-10-29 00:24:38"
"M. Carrano"|"M. Carrano"||14898|68319|"Tyrannosaurus turpanensis"||species|"nomen dubium belonging to Tyrannosaurus"|68319|"Tyrannosaurus turpanensis"|species|R.|Zhai|J.|Zheng|"Y. Tong"|1978|||Tyrannosaurus|no|||||||"2005-10-28 08:35:04"|"2005-10-29 01:35:04"
