order	family	subfamily	genus	species
Anura	Allophrynidae		Allophryne	ruthveni
Anura	Alytidae	Alytinae	Alytes	cisternasii
Anura	Alytidae	Alytinae	Alytes	dickhilleni
Anura	Alytidae	Alytinae	Alytes	maurus
Anura	Alytidae	Alytinae	Alytes	muletensis
Anura	Alytidae	Alytinae	Alytes	obstetricans
Anura	Arthroleptidae		Arthroleptis	adelphus
Anura	Arthroleptidae		Arthroleptis	adolfifriederici
Anura	Arthroleptidae		Arthroleptis	affinis
Anura	Arthroleptidae		Arthroleptis	aureoli
Anura	Arthroleptidae		Arthroleptis	bioko
Anura	Arthroleptidae		Arthroleptis	bivittatus
Anura	Arthroleptidae		Arthroleptis	brevipes
Anura	Arthroleptidae		Arthroleptis	carquejai
Anura	Arthroleptidae		Arthroleptis	crusculum
Anura	Arthroleptidae		Arthroleptis	discodactylus
Anura	Arthroleptidae		Arthroleptis	fichika
Anura	Arthroleptidae		Arthroleptis	formosus
Anura	Arthroleptidae		Arthroleptis	francei
Anura	Arthroleptidae		Arthroleptis	hematogaster
Anura	Arthroleptidae		Arthroleptis	kidogo
Anura	Arthroleptidae		Arthroleptis	krokosua
Anura	Arthroleptidae		Arthroleptis	lameerei
Anura	Arthroleptidae		Arthroleptis	langeri
Anura	Arthroleptidae		Arthroleptis	lonnbergi
Anura	Arthroleptidae		Arthroleptis	loveridgei
Anura	Arthroleptidae		Arthroleptis	mossoensis
Anura	Arthroleptidae		Arthroleptis	nguruensis
Anura	Arthroleptidae		Arthroleptis	nikeae
Anura	Arthroleptidae		Arthroleptis	nimbaensis
Anura	Arthroleptidae		Arthroleptis	nlonakoensis
Anura	Arthroleptidae		Arthroleptis	palava
Anura	Arthroleptidae		Arthroleptis	perreti
Anura	Arthroleptidae		Arthroleptis	phrynoides
Anura	Arthroleptidae		Arthroleptis	poecilonotus
Anura	Arthroleptidae		Arthroleptis	pyrrhoscelis
Anura	Arthroleptidae		Arthroleptis	reichei
Anura	Arthroleptidae		Arthroleptis	schubotzi
Anura	Arthroleptidae		Arthroleptis	spinalis
Anura	Arthroleptidae		Arthroleptis	stenodactylus
Anura	Arthroleptidae		Arthroleptis	stridens
Anura	Arthroleptidae		Arthroleptis	sylvaticus
Anura	Arthroleptidae		Arthroleptis	taeniatus
Anura	Arthroleptidae		Arthroleptis	tanneri
Anura	Arthroleptidae		Arthroleptis	troglodytes
Anura	Arthroleptidae		Arthroleptis	tuberosus
Anura	Arthroleptidae		Arthroleptis	variabilis
Anura	Arthroleptidae		Arthroleptis	vercammeni
Anura	Arthroleptidae		Arthroleptis	wahlbergii
Anura	Arthroleptidae		Arthroleptis	xenochirus
